N° du SMS dans 88milSMS;SMS;Transcodage_1;;Transcodage_2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
418;dsl ms falait q j rentre vite chez moi;Désolé mais fallait que je rentre vite chez moi;;Désolé mais fallait que je rentre vite chez moi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
419;beh ! ! Je l'aime pas elle toute façon lol !;beh ! ! Je l'aime pas elle toute façon lol !;;Beh !! Je l'aime pas elle toute façon lol !;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
420;Mais j'avais mis a ton nom il msemble... On le remboursera ensemble..;Mais j'avais mis à ton nom il me semble... On le remboursera ensemble..;;Mais j'avais mis à ton nom il me semble... On le remboursera ensemble...;on ajoute un point de suspension;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
421;Demain elle se leve tot pour partir a tlse;Demain elle se lève tôt pour partir à Toulouse;;Demain elle se lève tôt pour partir à Toulouse;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
422;Enfin.. <3;Enfin.. <3;;Enfin... <3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
423;J'rentre mon ninou;Je rentre mon ninou;;Je rentre mon ninou;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
424;Hey yo! Viens quand tu veux péqufier mon appart, ce sera ac grand plaisir! Enfin le week prochain je rentre sr Tlse, ms sinon ceux qui suivent ss problème! du coup on se voit la semaine prochaine! Bisous vieille grognasse;Hey yo ! Viens quand tu veux péqufier mon appartement, ce sera avec grand plaisir ! Enfin le week-end prochain je rentre sur Toulouse, mais sinon ceux qui suivent sans problème ! du coup on se voit la semaine prochaine ! Bisous vieille grognasse;;Hey yo ! Viens quand tu veux péqufier mon appartement, ce sera avec grand plaisir ! Enfin le week-end prochain je rentre sur Toulouse, mais sinon ceux qui suivent sans problème ! du coup on se voit la semaine prochaine ! Bisous vieille grognasse;on laisse « péqufier » à défaut de synonyme;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
425;T'inquietes pas...jte dis quand je suis rentree! Je serai couchee dans pas lgt si j'ai de la chance;T’inquiète pas... je te dis quand je suis rentrée ! Je serai couchée dans pas longtemps si j'ai de la chance;;T’inquiète pas... Je te dis quand je suis rentrée ! Je serai couchée dans pas longtemps si j'ai de la chance;ajout d'une majuscule à « je »;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
426;Pfou..fait froid par contre;Pff.. fait froid par contre;;Pff... Fait froid par contre;on transcode « pfou » par « pff »;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
427;C'est peaugres ou on est allees ?;C'est Peaugres où on est allées ?;;C'est Peaugres où on est allées ?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
428;Dors mon amour...tu te leves toi demain..;Dors mon amour... tu te lèves toi demain..;;Dors mon amour... tu te lèves toi demain...;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
429;Tu es mon meilleur pour toute, de ma vie!!;Tu es mon meilleur pour toute, de  ma vie !!;;Tu es mon meilleur pour toute, de  ma vie !!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
430;"Alors ce film?
G craqué, g pris un burger^^'";Alors ce film ? J'ai craqué, j'ai pris un burger ^^';;Alors ce film ? J'ai craqué, j'ai pris un burger ^^';;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
431;Deja dans le tram, pile quand j'arrive :D;Déjà dans le tram, pile quand j'arrive :D;;Déjà dans le tram, pile quand j'arrive :D;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
432;Tu me dirais si ca allait pas mon amour ? Je te trouve un peu pensif quelques fois, et tu as l'air de t'ennuyer a ta maison. Tu sais que tu peux tout me dire, je suis la pour ca aussi. Puis ma maison tu peux y etre quand tu veux. Meme si c'est un peu long ! Fin je dis ptetre n'importe quoi mais bon on sait jamais quoi;Tu me dirais si ça allait pas mon amour ? Je te trouve un peu pensif quelquefois, et tu as l'air de t'ennuyer à ta maison. Tu sais que tu peux tout me dire, je suis là pour ça aussi. Puis ma maison tu peux y être quand tu veux. Même si c'est un peu long ! Enfin je dis peut-être n'importe quoi mais bon on sait jamais quoi;;Tu me dirais si ça allait pas mon amour ? Je te trouve un peu pensif quelquefois, et tu as l'air de t'ennuyer à ta maison. Tu sais que tu peux tout me dire, je suis là pour ça aussi. Puis ma maison tu peux y être quand tu veux. Même si c'est un peu long ! Enfin je dis peut-être n'importe quoi mais bon on sait jamais quoi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
433;Je te trouvais bizarre ! Pardon alors ! Tu me dirais en tout cas hein ? Je regarde pour notre weekend des que j'ai fini mon russe <3;Je te trouvais bizarre ! Pardon alors ! Tu me dirais en tout cas hein ? Je regarde pour notre week-end dès que j'ai fini mon russe <3;;Je te trouvais bizarre ! Pardon alors ! Tu me dirais en tout cas hein ? Je regarde pour notre week-end dès que j'ai fini mon russe <3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
434;Tu dors toi ? J'ai fini mes devoirs pour la semaine, dur dur ! Je me matte une série et je dors ! J'ai trop trop hate de demain ! Ca va etre l'aventure ! (des petits papis mais l'aventure quand meme) je te souhaite une belle nuit mon amoureux ! A demain , fais de beaux reves ( de moi et de ton camping car hahahaS;Tu dors toi ? J'ai fini mes devoirs pour la semaine, dur dur ! Je me matte une série et je dors ! J'ai trop trop hâte d'être demain ! Ça va être l'aventure ! (des petits papis mais l'aventure quand même) je te souhaite une belle nuit mon amoureux ! À demain , fais de beaux rêves ( de moi et de ton camping car ha ha ha) S;"parenthèse fermante manquante ; positionnement ambigu";Tu dors toi ? J'ai fini mes devoirs pour la semaine, dur dur ! Je me matte une série et je dors ! J'ai trop trop hâte de demain ! Ça va être l'aventure ! (des petits papis mais l'aventure quand même) je te souhaite une belle nuit mon amoureux ! À demain, fais de beaux rêves (de moi et de ton camping-car ha ha ha) S;"suppression d' « être » pour rester au plus près du SMS original ; rétablissement d'une parenthèse";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
435;19h45 ! C'est tard ! :( j'ai pas cours de l'après midi mais je suis obligée d'aller a celui la ..;19h45 ! C'est tard ! :( j'ai pas cours de l'après midi mais je suis obligée d'aller à celui-là..;;19h45 ! C'est tard ! :( j'ai pas cours de l'après-midi mais je suis obligée d'aller à celui-là...;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
436;Hmm il me faut plus qu'un quart d'heure pour arriver chez moi ! Sinon je prend mes affaires pour le weekend a la fac ?;Hmm il me faut plus qu'un quart d'heure pour arriver chez moi ! Sinon je prends mes affaires pour le week-end à la fac ?;;Hum il me faut plus qu'un quart d'heure pour arriver chez moi ! Sinon je prends mes affaires pour le week-end à la fac ?;on transcode « Hmm » par « Hum »;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
437;Ok alors plus vers 20h30 alors ! C'est environ 15 min de tram, et 15 min de marche ! Ca te va ? :);OK alors plus vers 20h30 alors ! C'est environ 15 min de tram, et 15 min de marche ! Ça te va ? :);;O.K. alors plus vers 20h30 alors ! C'est environ 15 minutes de tram, et 15 minutes de marche ! Ça te va ? :)  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
438;Demain j'ai cours de 8h à 11h puis de 18h a 19h45 ! Entre j'irais faire des courses rapides, shampoing, p'tetre un peu de sport ou de dodo, fin bref j'suis sure que l'on se croisera ! Bonne nuit <3;Demain j'ai cours de 8h à 11h puis de 18h à 19h45 ! Entre j'irai faire des courses rapides, shampoing, peut-être un peu de sport ou de dodo, enfin bref je suis sûre que l'on se croisera ! Bonne nuit <3;;Demain j'ai cours de 8h à 11h puis de 18h à 19h45 ! Entre j'irai faire des courses rapides, shampoing, peut-être un peu de sport ou de dodo, enfin bref je suis sûre que l'on se croisera ! Bonne nuit <3  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
439;Coucou !! Mon cours commence dans 15min et je sais pas si j aurai une place. Prie pour que se soit oui. Lol bisous;Coucou !! Mon cours commence dans 15min et je sais pas si j'aurai une place. Prie pour que ce soit oui. Lol bisous;;Coucou !! Mon cours commence dans 15 minutes et je sais pas si j'aurai une place. Prie pour que ce soit oui. Lol bisous  ;">  ajout d'un espace entre 15 et min ; lol (minuscules)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
440;par s q j en aurai besoin pr cette aprem ac <PRE_4> on va faire un tour a un festival de cinéma à Sète et y aura Michel Gondry;Parce que j'en aurai besoin pour cet après-midi avec <PRE_4> on va faire un tour à un festival de cinéma à Sète et y aura Michel Gondry;;Parce que j'en aurai besoin pour cet après-midi avec <PRE_4> on va faire un tour à un festival de cinéma à Sète et il y aura Michel Gondry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
441;Tvmag2;Tvmag2;;Tvmag2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
443;A;A;;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
447;C'est bon je suis inscrite  !!!;C'est bon je suis inscrite  !!!;;C'est bon je suis inscrite  !!!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
448;On est 2 en cours;On est 2 en cours;;On est 2 en cours;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
449;"On est 3 lol
Le cours risque d'etre supprimé si on est pas 10 étudiant
C'est la fete!!!";On est 3 lol Le cours risque d'être supprimé si on est pas 10 étudiants. C'est la fête !!!;;On est 3 lol Le cours risque d'être supprimé si on est pas 10 étudiants. C'est la fête !!!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
450;On mange tjs ensemble a 12h?;On mange toujours ensemble à 12h ?;;On mange toujours ensemble à 12h ?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
451;Plein d'étrangers ds mon cours!:o;Plein d'étrangers dans mon cours ! :o;;Plein d'étrangers dans mon cours ! :o;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
452;"Cc BB ça va ? Moi mal dormi mai tt de mm en forme pr les cours ;) gros bisousssss <3";"Coucou bébé ça va ? Moi mal dormi mais tout de même en forme pour les cours ;) gros bisous <3";;"Coucou bébé ça va ? Moi mal dormi mais tout de même en forme pour les cours ;) gros bisous <3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
453;Celui la ! Hier soirPetite joueuse va! J'tiens a tz dire que je suis vraiment content que sa s'passe coume sa entre nous en si peut de temps! Et les gars que ta refoul j'ai kiffer , surtout quand ta dis j'en aime un autre mais si peut etre c'est pas completement vrai je saaaais pas <3 té quieeero;Celui-là ! Hier soir petite joueuse va ! Je tiens à te dire que je suis vraiment content que ça se passe comme ça entre nous en si peu de temps ! Et les gars que t'as refoulé j'ai kiffé , surtout quand t'as dis j'en aime un autre mais si peut-être c'est pas complètement vrai je sais pas <3 te quiero;te quiero (espagnol);Celui-là ! Hier soir Petite joueuse va ! Je tiens à te dire que je suis vraiment content que ça se passe comme ça entre nous en si peu de temps ! Et les gars que tu as refoulés j'ai kiffé, surtout quand tu as dit j'en aime un autre mais si peut-être c'est pas complètement vrai je sais pas <3 te quiero;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
454;Pas cours lundi youpi !!!!;Pas cours lundi youpi !!!!;;Pas cours lundi youpi !!!!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
455;Languie de savoir la réponse oui !;Languis de savoir la réponse oui !;;Languis de savoir la réponse oui !;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
456;Salut l'ami, j ai acheté par erreur 2 exemplaires d'icons hs avec le dernier arc des ff. Donc si tu ne l'as pas deja, il y en a 1 pour toi...bises;Salut l'ami, j'ai acheté par erreur 2 exemplaires d'Icons HS avec le dernier arc des FF. Donc si tu ne l'as pas déjà, il y en a 1 pour toi... bises; ff=>FF (Future Foundation);Salut l'ami, j'ai acheté par erreur 2 exemplaires d' Icons HS avec le dernier arc des FF. Donc si tu ne l'as pas déjà, il y en a 1 pour toi... bises;Insertion d'un espace après l'apostrophe.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
